"id";"spending_ids/id";"plan_line_ids/id";"name";"target_ids/id";"year"
"";"itb_plan_spending_474";"";"";"";""
"";"itb_plan_spending_475";"";"";"";""
"";"itb_plan_spending_476";"";"";"";""
"";"itb_plan_spending_477";"";"";"";""
"";"itb_plan_spending_478";"";"";"";""
"";"itb_plan_spending_479";"";"";"";""
"";"itb_plan_spending_480";"";"";"";""
"";"itb_plan_spending_481";"";"";"";""
"";"itb_plan_spending_482";"";"";"";""
"";"itb_plan_spending_483";"";"";"";""
"";"itb_plan_spending_484";"";"";"";""
"";"itb_plan_spending_485";"";"";"";""
"";"itb_plan_spending_486";"";"";"";""
"";"itb_plan_spending_487";"";"";"";""
"";"itb_plan_spending_488";"";"";"";""
"";"itb_plan_spending_489";"";"";"";""
"";"itb_plan_spending_490";"";"";"";""
"";"itb_plan_spending_491";"";"";"";""
"";"itb_plan_spending_492";"";"";"";""
"";"itb_plan_spending_493";"";"";"";""
"";"itb_plan_spending_494";"";"";"";""
"";"itb_plan_spending_495";"";"";"";""
"";"itb_plan_spending_496";"";"";"";""
"";"itb_plan_spending_497";"";"";"";""
"";"itb_plan_spending_498";"";"";"";""
"";"itb_plan_spending_499";"";"";"";""
"";"itb_plan_spending_500";"";"";"";""
"";"itb_plan_spending_501";"";"";"";""
"";"itb_plan_spending_502";"";"";"";""
"";"itb_plan_spending_503";"";"";"";""
"";"itb_plan_spending_504";"";"";"";""
"";"itb_plan_spending_505";"";"";"";""
"";"itb_plan_spending_506";"";"";"";""
"";"itb_plan_spending_507";"";"";"";""
"";"itb_plan_spending_508";"";"";"";""
"";"itb_plan_spending_509";"";"";"";""
"";"itb_plan_spending_510";"";"";"";""
"";"itb_plan_spending_511";"";"";"";""
"";"itb_plan_spending_512";"";"";"";""
"";"itb_plan_spending_513";"";"";"";""
"";"itb_plan_spending_514";"";"";"";""
"";"itb_plan_spending_515";"";"";"";""
"";"itb_plan_spending_516";"";"";"";""
"";"itb_plan_spending_517";"";"";"";""
"";"itb_plan_spending_518";"";"";"";""
"";"itb_plan_spending_519";"";"";"";""
"";"itb_plan_spending_520";"";"";"";""
"";"itb_plan_spending_521";"";"";"";""
"";"itb_plan_spending_522";"";"";"";""
"";"itb_plan_spending_523";"";"";"";""
"";"itb_plan_spending_524";"";"";"";""
"";"itb_plan_spending_525";"";"";"";""
"";"itb_plan_spending_526";"";"";"";""
"";"itb_plan_spending_527";"";"";"";""
"";"itb_plan_spending_528";"";"";"";""
"";"itb_plan_spending_529";"";"";"";""
"";"itb_plan_spending_530";"";"";"";""
"";"itb_plan_spending_531";"";"";"";""
"";"itb_plan_spending_532";"";"";"";""
"";"itb_plan_spending_533";"";"";"";""
"";"itb_plan_spending_534";"";"";"";""
"";"itb_plan_spending_535";"";"";"";""
"";"itb_plan_spending_536";"";"";"";""
"";"itb_plan_spending_537";"";"";"";""
"";"itb_plan_spending_538";"";"";"";""
"";"itb_plan_spending_539";"";"";"";""
"";"itb_plan_spending_540";"";"";"";""
"";"itb_plan_spending_541";"";"";"";""
"";"itb_plan_spending_542";"";"";"";""
"";"itb_plan_spending_543";"";"";"";""
"";"itb_plan_spending_544";"";"";"";""
"";"itb_plan_spending_545";"";"";"";""
"";"itb_plan_spending_546";"";"";"";""
"";"itb_plan_spending_547";"";"";"";""
"";"itb_plan_spending_548";"";"";"";""
"";"itb_plan_spending_549";"";"";"";""
"";"itb_plan_spending_550";"";"";"";""
"";"itb_plan_spending_551";"";"";"";""
"";"itb_plan_spending_552";"";"";"";""
"";"itb_plan_spending_553";"";"";"";""
"";"itb_plan_spending_554";"";"";"";""
"";"itb_plan_spending_555";"";"";"";""
"";"itb_plan_spending_556";"";"";"";""
"";"itb_plan_spending_557";"";"";"";""
"";"itb_plan_spending_558";"";"";"";""
"";"itb_plan_spending_559";"";"";"";""
"";"itb_plan_spending_560";"";"";"";""
"";"itb_plan_spending_561";"";"";"";""
